   -0.5745  -15.9781  -15.8356  -12.6054  -11.1634  -11.1634   -8.7080   -8.7080   -2.0653   -0.6469
   -0.4596  -16.2342  -15.2946  -12.9034  -10.7575  -10.7575   -8.8771   -8.8771   -1.5673   -0.1539
   -0.3447  -16.9879  -16.0686  -12.4278  -11.5561  -11.5561   -7.8267   -7.8266   -0.1733    1.2197
   -0.2298  -18.0046  -17.1074  -12.6656  -12.2643  -12.2643   -7.2237   -7.2237    1.6319    3.0029
   -0.1149  -18.8601  -17.9762  -13.5520  -13.1010  -13.1010   -5.7900   -5.7671    3.1207    4.4783
    0.0000  -19.1914  -18.3118  -13.8285  -13.4418  -13.4418   -5.2767   -5.1896    3.6932    5.0465
    0.1149  -18.8601  -17.9762  -13.5520  -13.1010  -13.1010   -5.7900   -5.7671    3.1207    4.4783
    0.2298  -18.0046  -17.1074  -12.6656  -12.2643  -12.2643   -7.2237   -7.2237    1.6319    3.0029
    0.3447  -16.9879  -16.0686  -12.4278  -11.5561  -11.5561   -7.8267   -7.8266   -0.1733    1.2197
    0.4596  -16.2342  -15.2946  -12.9034  -10.7575  -10.7575   -8.8771   -8.8771   -1.5673   -0.1539
